Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
298,Brian Skinner,28,SAC,C,25,23,695,82,148,.554,0,0,,82,148,.554,.554,20,53,.377,84,134,218,38,26,43,27,73,184,0,,skinnbr01
299,Obinna Ekezie,29,ATL,C,42,31,732,79,182,.434,0,1,.000,79,181,.436,.434,72,93,.774,69,110,179,11,22,12,45,129,230,0,,ekeziob01
300,Matt Carroll,24,CHO,SG,25,0,430,70,180,.389,13,39,.333,57,141,.404,.425,71,83,.855,13,47,60,17,17,2,25,37,224,0,,carroma01
301,Shaun Livingston,19,LAC,PG,30,15,814,89,215,.414,0,2,.000,89,213,.418,.414,44,59,.746,22,67,89,151,32,11,75,82,222,0,,livinsh01
302,Royal Ivey,23,ATL,PG,62,5,809,85,198,.429,3,9,.333,82,189,.434,.437,47,67,.701,19,65,84,103,39,7,58,140,220,0,,iveyro01
303,Zoran Planinić,22,NJN,PG,43,8,515,78,174,.448,15,40,.375,63,134,.470,.491,46,66,.697,19,50,69,44,25,0,41,76,217,0,,planizo01
304,Jarron Collins,26,UTA,C,50,38,961,65,157,.414,0,1,.000,65,156,.417,.414,83,119,.697,57,107,164,61,11,6,34,146,213,0,,collija03
305,Jackson Vroman,23,2TM,C,46,18,705,82,199,.412,0,3,.000,82,196,.418,.412,48,75,.640,64,111,175,40,25,19,64,105,212,0,,vromaja01
305,Jackson Vroman,23,PHO,PF,10,1,57,6,16,.375,0,0,,6,16,.375,.375,4,7,.571,5,8,13,7,3,2,7,11,16,0,,vromaja01
305,Jackson Vroman,23,NOH,C,36,17,648,76,183,.415,0,3,.000,76,180,.422,.415,44,68,.647,59,103,162,33,22,17,57,94,196,0,,vromaja01
306,Shawn Bradley,32,DAL,C,77,14,885,84,186,.452,0,0,,84,186,.452,.452,43,63,.683,70,144,214,15,25,63,33,153,211,0,,bradlsh01
307,Jannero Pargo,25,CHI,PG,32,0,453,82,213,.385,23,66,.348,59,147,.401,.439,17,23,.739,12,35,47,76,16,1,45,53,204,0,,pargoja01
308,Kenny Anderson,34,2TM,PG,43,20,743,85,201,.423,6,13,.462,79,188,.420,.438,27,37,.730,24,64,88,103,33,0,49,87,203,0,,anderke01
308,Kenny Anderson,34,ATL,PG,39,20,717,81,190,.426,6,13,.462,75,177,.424,.442,27,37,.730,23,60,83,98,33,0,46,81,195,0,,anderke01
308,Kenny Anderson,34,LAC,PG,4,0,26,4,11,.364,0,0,,4,11,.364,.364,0,0,,1,4,5,5,0,0,3,6,8,0,,anderke01
309,Curtis Borchardt,24,UTA,C,67,23,859,74,172,.430,0,0,,74,172,.430,.430,52,71,.732,86,138,224,49,10,32,52,160,200,0,,borchcu01
310,Luke Walton,24,LAL,SF,61,5,768,74,180,.411,16,61,.262,58,119,.487,.456,34,48,.708,55,87,142,93,26,11,58,70,198,0,,waltolu01
311,Rafael Araújo,24,TOR,C,59,41,736,76,175,.434,1,3,.333,75,172,.436,.437,43,55,.782,59,126,185,16,21,8,52,157,196,0,,araujra01
312,Tony Massenburg,37,SAS,PF,61,6,699,74,182,.407,0,0,,74,182,.407,.407,48,63,.762,54,109,163,14,18,20,40,122,196,0,,masseto01
313,Malik Allen,26,2TM,PF,36,1,519,84,177,.475,0,0,,84,177,.475,.475,26,28,.929,40,59,99,18,9,22,18,53,194,0,,allenma01
