Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2005-2006,2006,CHA,2961.0,6843.0,428.0,1261.0,2533.0,5582.0,1593.0,2186.0,990.0,2270.0,3260.0,1717.0,822.0,354.0,1115.0,1960.0,7943.0,0.0,0.4327049539675581,0.3394131641554322,0.4537800071658903,0.7287282708142726,0.4639777875200935,,
2005-2006,2006,CHI,3004.0,6737.0,560.0,1477.0,2444.0,5260.0,1452.0,1967.0,906.0,2602.0,3508.0,1804.0,508.0,345.0,1197.0,2038.0,8020.0,1.0,0.4458957993172035,0.3791469194312796,0.464638783269962,0.7381799694966955,0.4874573252189402,41.0,41.0
2005-2006,2006,CLE,2908.0,6412.0,497.0,1465.0,2411.0,4947.0,1689.0,2318.0,959.0,2511.0,3470.0,1560.0,567.0,392.0,1099.0,1733.0,8002.0,5.0,0.4535246412975671,0.3392491467576792,0.4873660804527996,0.7286453839516824,0.4922800998128509,50.0,32.0
2005-2006,2006,DAL,2948.0,6375.0,416.0,1113.0,2532.0,5262.0,1818.0,2322.0,1030.0,2431.0,3461.0,1473.0,593.0,488.0,1055.0,1834.0,8130.0,0.0,0.4624313725490196,0.3737646001796945,0.4811858608893957,0.7829457364341085,0.4950588235294118,60.0,22.0
2005-2006,2006,DEN,3078.0,6672.0,350.0,1076.0,2728.0,5596.0,1721.0,2312.0,903.0,2486.0,3389.0,1921.0,698.0,463.0,1180.0,1863.0,8227.0,0.0,0.4613309352517986,0.3252788104089219,0.4874910650464618,0.7443771626297578,0.4875599520383693,44.0,38.0
2005-2006,2006,DET,2983.0,6558.0,557.0,1451.0,2426.0,5107.0,1418.0,1950.0,975.0,2347.0,3322.0,1971.0,580.0,490.0,882.0,1513.0,7941.0,0.0,0.4548642878926502,0.3838731909028256,0.4750342666927746,0.7271794871794872,0.4973315035071668,64.0,18.0
2005-2006,2006,GSW,2939.0,6785.0,625.0,1832.0,2314.0,4953.0,1573.0,2190.0,980.0,2485.0,3465.0,1694.0,604.0,357.0,1117.0,1941.0,8076.0,1.0,0.4331613854089904,0.3411572052401747,0.4671916010498688,0.7182648401826484,0.4792188651436993,34.0,48.0
2005-2006,2006,HOU,2708.0,6252.0,469.0,1414.0,2239.0,4838.0,1502.0,1980.0,849.0,2565.0,3414.0,1580.0,588.0,320.0,1121.0,1863.0,7387.0,0.0,0.4331413947536788,0.3316831683168317,0.4627945431996693,0.7585858585858586,0.4706493921944977,34.0,48.0
2005-2006,2006,IND,2786.0,6274.0,536.0,1536.0,2250.0,4738.0,1591.0,2158.0,898.0,2559.0,3457.0,1631.0,598.0,409.0,1204.0,1821.0,7699.0,0.0,0.4440548294548932,0.3489583333333333,0.4748839172646686,0.73725671918443,0.4867708001275103,41.0,41.0
2005-2006,2006,LAC,2993.0,6443.0,290.0,843.0,2703.0,5600.0,1694.0,2142.0,828.0,2704.0,3532.0,1708.0,534.0,503.0,1130.0,1872.0,7970.0,0.0,0.4645351544311656,0.3440094899169632,0.4826785714285714,0.7908496732026143,0.4870401986652181,47.0,35.0
