Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
170,Christian Braun,24,DEN,SG,11,11,325,48,97,.495,6,28,.214,42,69,.609,.526,23,29,.793,18,30,48,33,9,3,14,24,125,0,,braunch01
171,Donovan Clingan,21,POR,C,14,14,350,49,104,.471,8,40,.200,41,64,.641,.510,18,19,.947,65,64,129,17,9,23,11,37,124,0,,clingdo01
172,Cole Anthony,25,MIL,PG,14,0,274,52,124,.419,11,37,.297,41,87,.471,.464,8,15,.533,8,38,46,73,10,5,29,39,123,0,,anthoco01
173,Nikola Jović,22,MIA,PF,14,1,299,41,102,.402,15,51,.294,26,51,.510,.475,26,35,.743,10,51,61,43,9,6,25,37,123,0,,jovicni01
174,Andrew Nembhard,26,IND,PG,7,7,200,37,93,.398,13,40,.325,24,53,.453,.468,36,37,.973,2,10,12,43,2,2,17,17,123,0,,nembhan01
175,Ace Bailey,19,UTA,SF,14,5,284,47,111,.423,14,46,.304,33,65,.508,.486,14,17,.824,27,21,48,21,9,2,19,35,122,0,,baileac01
176,Javonte Green,32,DET,SG,15,3,349,39,96,.406,15,49,.306,24,47,.511,.484,29,38,.763,14,43,57,18,17,7,12,24,122,0,,greenja02
177,Sandro Mamukelashvili,26,TOR,C,13,0,232,44,76,.579,14,31,.452,30,45,.667,.671,20,25,.800,13,34,47,24,6,6,12,23,122,0,,mamuksa01
178,Jaylon Tyson,23,CLE,SG,11,7,284,44,90,.489,24,52,.462,20,38,.526,.622,10,13,.769,15,29,44,20,14,9,11,42,122,0,,tysonja01
179,Ziaire Williams,24,BRK,SF,12,0,279,38,97,.392,22,71,.310,16,26,.615,.505,24,28,.857,8,24,32,8,11,5,10,30,122,0,,willizi02
180,Isaiah Jackson,24,IND,C,14,10,268,47,81,.580,0,0,,47,81,.580,.580,27,34,.794,39,50,89,15,10,5,16,46,121,0,,jacksis01
181,Jordan Poole,26,NOP,PG,7,4,212,35,99,.354,20,59,.339,15,40,.375,.455,31,32,.969,3,9,12,24,2,2,15,18,121,0,,poolejo01
182,Vit Krejci,25,ATL,PG,11,1,247,42,81,.519,29,62,.468,13,19,.684,.698,7,10,.700,3,24,27,20,5,3,8,28,120,0,,krejcvi01
183,Draymond Green,35,GSW,PF,15,15,425,43,110,.391,23,64,.359,20,46,.435,.495,10,17,.588,13,74,87,86,11,12,48,56,119,0,,greendr01
184,Joel Embiid,31,PHI,C,6,6,140,40,87,.460,9,28,.321,31,59,.525,.511,29,35,.829,9,24,33,20,5,9,16,13,118,0,,embiijo01
185,Daniss Jenkins,24,DET,PG,10,4,219,47,95,.495,13,29,.448,34,66,.515,.563,11,16,.688,8,13,21,44,15,0,16,16,118,0,,jenkida01
